realtime_start,realtime_end,date,value
2025-04-25,2025-04-25,2010-03-01,14.2
2025-04-25,2025-04-25,2010-04-01,-3.2
2025-04-25,2025-04-25,2010-05-01,5.3
2025-04-25,2025-04-25,2010-06-01,-4.4
2025-04-25,2025-04-25,2010-07-01,-2.2
2025-04-25,2025-04-25,2010-08-01,5.4
2025-04-25,2025-04-25,2010-09-01,-8.2
2025-04-25,2025-04-25,2010-10-01,6.4
2025-04-25,2025-04-25,2010-11-01,27.9
2025-04-25,2025-04-25,2010-12-01,44.4
2025-04-25,2025-04-25,2011-01-01,-55.3
2025-04-25,2025-04-25,2011-02-01,8.0
2025-04-25,2025-04-25,2011-03-01,10.3
2025-04-25,2025-04-25,2011-04-01,2.3
2025-04-25,2025-04-25,2011-05-01,-0.1
2025-04-25,2025-04-25,2011-06-01,1.7
2025-04-25,2025-04-25,2011-07-01,-5.4
2025-04-25,2025-04-25,2011-08-01,5.7
2025-04-25,2025-04-25,2011-09-01,-7.3
2025-04-25,2025-04-25,2011-10-01,5.1
2025-04-25,2025-04-25,2011-11-01,26.5
2025-04-25,2025-04-25,2011-12-01,45.5
2025-04-25,2025-04-25,2012-01-01,-55.8
2025-04-25,2025-04-25,2012-02-01,15.3
2025-04-25,2025-04-25,2012-03-01,9.7
2025-04-25,2025-04-25,2012-04-01,-6.1
2025-04-25,2025-04-25,2012-05-01,3.7
2025-04-25,2025-04-25,2012-06-01,-1.8
2025-04-25,2025-04-25,2012-07-01,-6.0
2025-04-25,2025-04-25,2012-08-01,11.2
2025-04-25,2025-04-25,2012-09-01,-11.6
2025-04-25,2025-04-25,2012-10-01,1.8
2025-04-25,2025-04-25,2012-11-01,29.1
2025-04-25,2025-04-25,2012-12-01,37.9
2025-04-25,2025-04-25,2013-01-01,-54.9
2025-04-25,2025-04-25,2013-02-01,4.9
2025-04-25,2025-04-25,2013-03-01,13.9
2025-04-25,2025-04-25,2013-04-01,-11.2
2025-04-25,2025-04-25,2013-05-01,10.2
2025-04-25,2025-04-25,2013-06-01,-6.3
2025-04-25,2025-04-25,2013-07-01,-6.8
2025-04-25,2025-04-25,2013-08-01,10.9
2025-04-25,2025-04-25,2013-09-01,-12.8
2025-04-25,2025-04-25,2013-10-01,5.2
2025-04-25,2025-04-25,2013-11-01,25.4
2025-04-25,2025-04-25,2013-12-01,39.6
2025-04-25,2025-04-25,2014-01-01,-56.0
2025-04-25,2025-04-25,2014-02-01,8.5
2025-04-25,2025-04-25,2014-03-01,13.1
2025-04-25,2025-04-25,2014-04-01,-2.3
2025-04-25,2025-04-25,2014-05-01,5.9
2025-04-25,2025-04-25,2014-06-01,-8.3
2025-04-25,2025-04-25,2014-07-01,-3.3
2025-04-25,2025-04-25,2014-08-01,10.1
2025-04-25,2025-04-25,2014-09-01,-15.4
2025-04-25,2025-04-25,2014-10-01,7.2
2025-04-25,2025-04-25,2014-11-01,26.0
2025-04-25,2025-04-25,2014-12-01,40.0
2025-04-25,2025-04-25,2015-01-01,-55.4
2025-04-25,2025-04-25,2015-02-01,2.5
2025-04-25,2025-04-25,2015-03-01,15.8
2025-04-25,2025-04-25,2015-04-01,-7.7
2025-04-25,2025-04-25,2015-05-01,9.5
2025-04-25,2025-04-25,2015-06-01,-9.4
2025-04-25,2025-04-25,2015-07-01,-1.2
2025-04-25,2025-04-25,2015-08-01,7.5
2025-04-25,2025-04-25,2015-09-01,-13.1
2025-04-25,2025-04-25,2015-10-01,6.5
2025-04-25,2025-04-25,2015-11-01,24.7
2025-04-25,2025-04-25,2015-12-01,39.3
2025-04-25,2025-04-25,2016-01-01,-56.8
2025-04-25,2025-04-25,2016-02-01,7.5
2025-04-25,2025-04-25,2016-03-01,12.4
2025-04-25,2025-04-25,2016-04-01,-8.5
2025-04-25,2025-04-25,2016-05-01,3.9
2025-04-25,2025-04-25,2016-06-01,-0.8
2025-04-25,2025-04-25,2016-07-01,-5.0
2025-04-25,2025-04-25,2016-08-01,6.0
2025-04-25,2025-04-25,2016-09-01,-12.1
2025-04-25,2025-04-25,2016-10-01,2.8
2025-04-25,2025-04-25,2016-11-01,22.5
2025-04-25,2025-04-25,2016-12-01,40.8
2025-04-25,2025-04-25,2017-01-01,-56.8
2025-04-25,2025-04-25,2017-02-01,3.8
2025-04-25,2025-04-25,2017-03-01,15.3
2025-04-25,2025-04-25,2017-04-01,-3.4
2025-04-25,2025-04-25,2017-05-01,1.5
2025-04-25,2025-04-25,2017-06-01,-3.7
2025-04-25,2025-04-25,2017-07-01,-3.7
2025-04-25,2025-04-25,2017-08-01,6.0
2025-04-25,2025-04-25,2017-09-01,-11.6
2025-04-25,2025-04-25,2017-10-01,1.4
2025-04-25,2025-04-25,2017-11-01,32.2
2025-04-25,2025-04-25,2017-12-01,36.3
2025-04-25,2025-04-25,2018-01-01,-55.4
2025-04-25,2025-04-25,2018-02-01,5.9
2025-04-25,2025-04-25,2018-03-01,19.6
2025-04-25,2025-04-25,2018-04-01,-5.8
2025-04-25,2025-04-25,2018-05-01,17.1
2025-04-25,2025-04-25,2018-06-01,-14.5
2025-04-25,2025-04-25,2018-07-01,-4.6
2025-04-25,2025-04-25,2018-08-01,12.7
2025-04-25,2025-04-25,2018-09-01,-14.0
2025-04-25,2025-04-25,2018-10-01,7.1
2025-04-25,2025-04-25,2018-11-01,50.9
2025-04-25,2025-04-25,2018-12-01,27.0
2025-04-25,2025-04-25,2019-01-01,-65.8
2025-04-25,2025-04-25,2019-02-01,17.2
2025-04-25,2025-04-25,2019-03-01,19.7
2025-04-25,2025-04-25,2019-04-01,-0.3
2025-04-25,2025-04-25,2019-05-01,11.9
2025-04-25,2025-04-25,2019-06-01,-12.3
2025-04-25,2025-04-25,2019-07-01,4.5
2025-04-25,2025-04-25,2019-08-01,7.3
2025-04-25,2025-04-25,2019-09-01,-18.9
2025-04-25,2025-04-25,2019-10-01,6.8
2025-04-25,2025-04-25,2019-11-01,43.1
2025-04-25,2025-04-25,2019-12-01,42.5
