realtime_start,realtime_end,date,value
2025-04-10,2025-04-10,1948-12-01,43.100
2025-04-10,2025-04-10,1949-01-01,42.200
2025-04-10,2025-04-10,1949-02-01,41.900
2025-04-10,2025-04-10,1949-03-01,41.700
2025-04-10,2025-04-10,1949-04-01,41.300
2025-04-10,2025-04-10,1949-05-01,41.100
2025-04-10,2025-04-10,1949-06-01,40.900
2025-04-10,2025-04-10,1949-07-01,40.500
2025-04-10,2025-04-10,1949-08-01,40.200
2025-04-10,2025-04-10,1949-09-01,40.200
2025-04-10,2025-04-10,1949-10-01,40.100
2025-04-10,2025-04-10,1949-11-01,40.000
2025-04-10,2025-04-10,1949-12-01,39.900
2025-04-10,2025-04-10,1950-01-01,39.700
2025-04-10,2025-04-10,1950-02-01,39.700
2025-04-10,2025-04-10,1950-03-01,39.800
2025-04-10,2025-04-10,1950-04-01,39.700
2025-04-10,2025-04-10,1950-05-01,39.600
2025-04-10,2025-04-10,1950-06-01,39.600
2025-04-10,2025-04-10,1950-07-01,39.600
2025-04-10,2025-04-10,1950-08-01,39.900
2025-04-10,2025-04-10,1950-09-01,40.700
2025-04-10,2025-04-10,1950-10-01,41.400
2025-04-10,2025-04-10,1950-11-01,41.700
2025-04-10,2025-04-10,1950-12-01,42.000
2025-04-10,2025-04-10,1951-01-01,42.600
2025-04-10,2025-04-10,1951-02-01,43.400
2025-04-10,2025-04-10,1951-03-01,43.600
2025-04-10,2025-04-10,1951-04-01,43.700
2025-04-10,2025-04-10,1951-05-01,43.800
2025-04-10,2025-04-10,1951-06-01,43.800
2025-04-10,2025-04-10,1951-07-01,43.700
2025-04-10,2025-04-10,1951-08-01,43.700
2025-04-10,2025-04-10,1951-09-01,44.900
2025-04-10,2025-04-10,1951-10-01,44.900
2025-04-10,2025-04-10,1951-11-01,44.600
2025-04-10,2025-04-10,1951-12-01,44.400
2025-04-10,2025-04-10,1952-01-01,43.900
2025-04-10,2025-04-10,1952-02-01,43.900
2025-04-10,2025-04-10,1952-03-01,43.700
2025-04-10,2025-04-10,1952-04-01,43.500
2025-04-10,2025-04-10,1952-05-01,43.500
2025-04-10,2025-04-10,1952-06-01,43.400
2025-04-10,2025-04-10,1952-07-01,43.200
2025-04-10,2025-04-10,1952-08-01,43.100
2025-04-10,2025-04-10,1952-09-01,43.500
2025-04-10,2025-04-10,1952-10-01,43.400
2025-04-10,2025-04-10,1952-11-01,43.200
2025-04-10,2025-04-10,1952-12-01,43.100
2025-04-10,2025-04-10,1953-01-01,43.000
2025-04-10,2025-04-10,1953-02-01,43.000
2025-04-10,2025-04-10,1953-03-01,43.000
2025-04-10,2025-04-10,1953-04-01,43.000
2025-04-10,2025-04-10,1953-05-01,43.100
2025-04-10,2025-04-10,1953-06-01,43.100
2025-04-10,2025-04-10,1953-07-01,43.100
2025-04-10,2025-04-10,1953-08-01,43.000
2025-04-10,2025-04-10,1953-09-01,43.400
2025-04-10,2025-04-10,1953-10-01,43.500
2025-04-10,2025-04-10,1953-11-01,43.500
2025-04-10,2025-04-10,1953-12-01,43.400
2025-04-10,2025-04-10,1954-01-01,43.200
2025-04-10,2025-04-10,1954-02-01,43.100
2025-04-10,2025-04-10,1954-03-01,43.000
2025-04-10,2025-04-10,1954-04-01,42.900
2025-04-10,2025-04-10,1954-05-01,43.000
2025-04-10,2025-04-10,1954-06-01,43.000
2025-04-10,2025-04-10,1954-07-01,42.900
